generation,individual_id,green,yellow,red,speed,seed,fitness
0,0,41,5,17,40,1408,2154.0
0,1,31,7,17,80,1408,2208.0
0,2,50,8,43,60,1408,2262.0
0,3,29,4,55,60,1408,2316.0
0,4,17,5,51,40,1408,2370.0
2,0,41,5,29,40,1408,2424.0
2,1,41,5,17,40,1408,2478.0
2,2,41,5,17,40,1408,2460.0
2,3,41,5,17,40,1408,2514.0
2,4,42,5,37,40,1408,2118.0
0,0,42,5,37,40,1408,1000000.0
0,1,41,5,17,40,1408,1000000.0
0,2,31,7,17,80,1408,1395.0
0,3,10,3,37,60,1408,1440.0
0,4,28,5,10,100,1408,3485.0
1,0,42,5,37,80,1408,3530.0
1,1,31,7,17,40,1408,1000000.0
1,2,10,3,37,60,1408,1575.0
