generation,individual_id,green,yellow,red,speed,seed,fitness
0,0,41,5,17,40,1408,48962.7
0,1,31,7,17,80,1408,24346.199999999997
0,2,50,8,43,60,1408,29379.299999999996
0,3,29,4,55,60,1408,26505.699999999997
0,4,17,5,51,40,1408,65885.79999999999
0,5,31,8,46,80,1408,26684.0
0,6,12,5,47,40,1408,69761.4
0,7,60,6,56,60,1408,30331.6
0,8,30,4,10,100,1408,60810.09999999999
0,9,17,7,24,80,1408,21628.699999999997
0,10,50,4,57,100,1408,24860.6
0,11,53,5,13,80,1408,68374.2
0,12,57,5,49,100,1408,25662.1
0,13,51,5,45,40,1408,29126.699999999997
0,14,39,3,21,100,1408,18541.9
0,15,14,8,37,40,1408,70253.1
0,16,20,5,37,80,1408,25988.0
0,17,24,6,51,60,1408,1000000.0
0,18,28,3,52,60,1408,25875.5
0,19,21,5,29,100,1408,18765.0
0,20,48,3,32,60,1408,21927.0
0,21,57,7,49,100,1408,27572.9
0,22,19,8,19,100,1408,21671.9
0,23,42,5,40,40,1408,26009.9
0,24,37,3,60,40,1408,30468.899999999998
0,25,37,7,25,80,1408,23320.899999999998
0,26,29,3,35,40,1408,22470.5
0,27,19,8,25,80,1408,21970.1
0,28,60,6,14,40,1408,71246.09999999999
0,29,54,5,18,40,1408,67409.8
1,0,39,3,33,100,1408,18027.8
1,1,39,3,21,80,1408,18678.6
1,2,37,7,25,100,1408,21935.699999999997
1,3,29,3,40,40,1408,22770.3
1,4,19,8,59,100,1408,70857.5
1,5,51,8,45,40,1408,34148.2
1,6,19,5,25,80,1408,18887.6
1,7,28,8,19,100,1408,22555.6
1,8,19,3,57,60,1408,64215.2
1,9,29,3,25,80,1408,16294.3
1,10,19,4,35,40,1408,25667.3
1,11,17,7,24,80,1408,21628.699999999997
1,12,30,4,10,100,1408,60810.09999999999
1,13,19,7,24,100,1408,19541.399999999998
1,14,17,8,19,80,1408,21028.699999999997
1,15,17,7,24,80,1408,21628.699999999997
1,16,19,8,25,80,1408,21970.1
1,17,37,3,35,40,1408,22478.4
1,18,29,7,25,80,1408,20317.6
1,19,38,7,24,80,1408,24039.899999999998
1,20,57,4,49,100,1408,24088.6
1,21,50,7,57,100,1408,27630.899999999998
2,0,17,8,19,80,1408,21028.699999999997
2,1,19,4,35,100,1408,22852.1
2,2,29,3,40,60,1408,20276.899999999998
2,3,29,3,25,80,1408,16294.3
2,4,19,5,25,80,1408,18887.6
2,5,48,3,57,60,1408,26043.5
2,6,19,7,24,80,1408,20181.699999999997
2,7,17,5,25,80,1408,18422.1
2,8,39,3,12,100,1408,63332.49999999999
2,9,38,7,24,80,1408,24039.899999999998
2,10,17,7,25,80,1408,21752.899999999998
2,11,29,3,24,80,1408,16199.099999999999
2,12,39,3,21,80,1408,18678.6
2,13,39,3,21,80,1408,18678.6
2,14,29,7,12,80,1408,63579.29999999999
2,15,17,3,25,80,1408,15390.2
2,16,39,5,29,100,1408,19099.6
2,17,21,3,33,100,1408,18092.1
3,0,29,3,21,80,1408,15756.699999999999
3,1,39,3,25,80,1408,19093.8
3,2,39,3,21,80,1408,18678.6
3,3,17,5,33,100,1408,25916.4
3,4,39,3,25,80,1408,19093.8
3,5,39,3,25,80,1408,1000000.0
3,6,29,3,21,80,1408,15756.699999999999
